,Ceftriaxone,Tobramycin,Piperacillin-Tazobactam,Ciprofloxacin,Cotrimoxazole
Ceftriaxone,1.0,0.6533022607632224,0.6385097871236071,0.603878065626976,0.5698358923835074
Tobramycin,0.6533022607632224,1.0,0.5852697550304415,0.6159235466882441,0.5592831855914279
Piperacillin-Tazobactam,0.6385097871236071,0.5852697550304415,1.0,0.5399093945740749,0.44432621845083065
Ciprofloxacin,0.603878065626976,0.6159235466882441,0.5399093945740749,1.0,0.5985919593198933
Cotrimoxazole,0.5698358923835074,0.5592831855914279,0.44432621845083065,0.5985919593198933,1.0
