antibiotic,auroc,f1,split
Ciprofloxacin,0.8143368918822095,0.574108818011257,random
Cotrimoxazole,0.6798785425101215,0.3166332665330661,random
Ceftriaxone,0.8770132953466286,0.6011560693641619,random
Amoxicillin-Clavulanic acid,0.6514660264660264,0.23214285714285715,random
Ampicillin-Amoxicillin,0.6877709193574715,0.7030048916841369,random
