antibiotic,auroc,f1,split,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard,seed
Piperacillin-Tazobactam,0.5667752442996743,0.0,random_seed0,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0
Meropenem,0.6319504465571881,0.0,random_seed0,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0
Ciprofloxacin,0.6755760907708503,0.023529411764705882,random_seed0,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0
Ceftazidime,0.6103855896425556,0.0,random_seed0,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0
Cefepime,0.6650907715582451,0.0,random_seed0,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0
Piperacillin-Tazobactam,0.5976556158067344,0.0,random_seed1,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,1
Meropenem,0.616572757003822,0.0,random_seed1,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,1
Ciprofloxacin,0.6983420379263208,0.041237113402061855,random_seed1,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,1
Ceftazidime,0.5868288799323281,0.0,random_seed1,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,1
Cefepime,0.6714203675344563,0.0,random_seed1,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,1
Piperacillin-Tazobactam,0.6196805111821085,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436,2
Meropenem,0.5992935635792778,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436,2
Ciprofloxacin,0.6696104807579834,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436,2
Ceftazidime,0.6001488350792833,0.03636363636363636,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436,2
Cefepime,0.5727642276422764,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436,2
Piperacillin-Tazobactam,0.6795368421052631,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125,3
Meropenem,0.5988276284194172,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125,3
Ciprofloxacin,0.6471127227356027,0.047058823529411764,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125,3
Ceftazidime,0.578771056661562,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125,3
Cefepime,0.6332691381800674,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125,3
Piperacillin-Tazobactam,0.6087189805499664,0.02666666666666667,random_seed4,0.09158345221112696,0.0010699001426533524,0.7671184022824536,0.7660485021398002,0.004658385093167702,4
Meropenem,0.6299298166176138,0.0,random_seed4,0.09158345221112696,0.0010699001426533524,0.7671184022824536,0.7660485021398002,0.004658385093167702,4
Ciprofloxacin,0.7047023043630833,0.0,random_seed4,0.09158345221112696,0.0010699001426533524,0.7671184022824536,0.7660485021398002,0.004658385093167702,4
Ceftazidime,0.5644570381819223,0.0,random_seed4,0.09158345221112696,0.0010699001426533524,0.7671184022824536,0.7660485021398002,0.004658385093167702,4
Cefepime,0.6515221938182664,0.05,random_seed4,0.09158345221112696,0.0010699001426533524,0.7671184022824536,0.7660485021398002,0.004658385093167702,4
Piperacillin-Tazobactam,0.6577495974235105,0.024096385542168676,random_seed5,0.09186875891583453,0.0011887779362815024,0.757251545411317,0.7560627674750356,0.004930966469428007,5
Meropenem,0.6367180333883692,0.056338028169014086,random_seed5,0.09186875891583453,0.0011887779362815024,0.757251545411317,0.7560627674750356,0.004930966469428007,5
Ciprofloxacin,0.6844919786096255,0.0,random_seed5,0.09186875891583453,0.0011887779362815024,0.757251545411317,0.7560627674750356,0.004930966469428007,5
Ceftazidime,0.6518894009216589,0.0,random_seed5,0.09186875891583453,0.0011887779362815024,0.757251545411317,0.7560627674750356,0.004930966469428007,5
Cefepime,0.7017584630877682,0.0,random_seed5,0.09186875891583453,0.0011887779362815024,0.757251545411317,0.7560627674750356,0.004930966469428007,5
Piperacillin-Tazobactam,0.6009199134199134,0.0,random_seed6,0.09529243937232525,0.0021398002853067048,0.761055634807418,0.760342368045649,0.008875739644970414,6
