antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ciprofloxacin,0.7902277809661395,0.37037037037037035,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595
Penicillin,0.7676948726668178,0.8589306029579067,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595
Erythromycin,0.6847007992542813,0.12060301507537688,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595
Clindamycin,0.5302717764991134,0.11695906432748537,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595
Oxacillin,0.8822957884852334,0.7082152974504249,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595
