antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ampicillin-Amoxicillin,0.6844492420153586,0.7053197848176928,random_seed6,option_a,0.2683929931454684,0.29046712363544047,0.2962680883472963
Ceftriaxone,0.8473382563650391,0.617169373549884,random_seed6,option_a,0.2683929931454684,0.29046712363544047,0.2962680883472963
Amoxicillin-Clavulanic acid,0.6163219292226252,0.28901734104046245,random_seed6,option_a,0.2683929931454684,0.29046712363544047,0.2962680883472963
Ciprofloxacin,0.8086797031034503,0.5629139072847682,random_seed6,option_a,0.2683929931454684,0.29046712363544047,0.2962680883472963
Cotrimoxazole,0.6461786191186867,0.47256438969764836,random_seed6,option_a,0.2683929931454684,0.29046712363544047,0.2962680883472963
