antibiotic,auroc,f1,split,hamming_loss,jaccard_score
Ciprofloxacin,0.7945391792681857,0.4846153846153846,temporal,0.2591012947448591,0.2322797664381823
Cotrimoxazole,0.6656264255239219,0.3261231281198003,temporal,0.2591012947448591,0.2322797664381823
Ceftriaxone,0.8616651133892513,0.5539358600583091,temporal,0.2591012947448591,0.2322797664381823
Amoxicillin-Clavulanic acid,0.6042211249878982,0.10294117647058823,temporal,0.2591012947448591,0.2322797664381823
Ampicillin-Amoxicillin,0.6516949274424357,0.6764144945963128,temporal,0.2591012947448591,0.2322797664381823
