antibiotic,auroc_mean,auroc_std,f1_mean,f1_std,hamming_loss_mean,hamming_loss_std,jaccard_score_mean,jaccard_score_std
Ceftriaxone,0.8144826859748022,0.012905637415865078,0.4778398887377212,0.06147894646234713,0.14156123822341857,0.009284356335718624,0.03627187079407806,0.006929516024767313
Ciprofloxacin,0.7238109647707854,0.03823432146777906,0.19073004615016909,0.036709115444660365,0.14156123822341857,0.009284356335718624,0.03627187079407806,0.006929516024767313
Cotrimoxazole,0.7000560220641949,0.027427208205878375,0.21001459171031528,0.05387842405103206,0.14156123822341857,0.009284356335718624,0.03627187079407806,0.006929516024767313
Piperacillin-Tazobactam,0.7464597886196279,0.02784342929995324,0.20355191262969066,0.040932944528298924,0.14156123822341857,0.009284356335718624,0.03627187079407806,0.006929516024767313
Tobramycin,0.7830583783455686,0.0262367543030362,0.15220059623943633,0.04378455587727381,0.14156123822341857,0.009284356335718624,0.03627187079407806,0.006929516024767313
