antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ciprofloxacin,0.817091684434968,0.5342960288808665,random_seed5,option_e,0.25514089870525514,0.1984894643310485,0.5826351865955827
Ceftriaxone,0.8708822371923977,0.6145833333333334,random_seed5,option_e,0.25514089870525514,0.1984894643310485,0.5826351865955827
Ampicillin-Amoxicillin,0.6670266429840143,0.5965996908809892,random_seed5,option_e,0.25514089870525514,0.1984894643310485,0.5826351865955827
Cotrimoxazole,0.6554394793271769,0.43916083916083914,random_seed5,option_e,0.25514089870525514,0.1984894643310485,0.5826351865955827
Amoxicillin-Clavulanic acid,0.6283874348101575,0.2510822510822511,random_seed5,option_e,0.25514089870525514,0.1984894643310485,0.5826351865955827
