antibiotic,auroc,f1,split,hamming_loss,jaccard_score,seed
Ceftriaxone,0.8139753677728361,0.4689655172413793,random_seed0,0.1531628532974428,0.02938537460744729,0
Tobramycin,0.7670807453416149,0.09803921568627451,random_seed0,0.1531628532974428,0.02938537460744729,0
Piperacillin-Tazobactam,0.7709460828292769,0.192,random_seed0,0.1531628532974428,0.02938537460744729,0
Ciprofloxacin,0.7330683624801271,0.21176470588235294,random_seed0,0.1531628532974428,0.02938537460744729,0
Cotrimoxazole,0.688854297672309,0.10810810810810811,random_seed0,0.1531628532974428,0.02938537460744729,0
Ceftriaxone,0.7996347801657535,0.42758620689655175,random_seed1,0.13808882907133244,0.02954239569313593,1
Tobramycin,0.8165390988716168,0.13953488372093023,random_seed1,0.13808882907133244,0.02954239569313593,1
Piperacillin-Tazobactam,0.706347737577496,0.18333333333333332,random_seed1,0.13808882907133244,0.02954239569313593,1
Ciprofloxacin,0.6461126682322046,0.18543046357615894,random_seed1,0.13808882907133244,0.02954239569313593,1
Cotrimoxazole,0.6653139839131699,0.20118343195266272,random_seed1,0.13808882907133244,0.02954239569313593,1
Ceftriaxone,0.8311262707330124,0.5185185185185185,random_seed2,0.14024226110363391,0.047936294302377745,2
Tobramycin,0.8090336056096379,0.09302325581395349,random_seed2,0.14024226110363391,0.047936294302377745,2
Piperacillin-Tazobactam,0.7768140140366764,0.21374045801526717,random_seed2,0.14024226110363391,0.047936294302377745,2
Ciprofloxacin,0.7583516400272707,0.24358974358974358,random_seed2,0.14024226110363391,0.047936294302377745,2
Cotrimoxazole,0.7261170615600995,0.29411764705882354,random_seed2,0.14024226110363391,0.047936294302377745,2
Ceftriaxone,0.8021080800633515,0.3724137931034483,random_seed3,0.13216689098250337,0.03384925975773889,3
Tobramycin,0.7732540861812778,0.20253164556962025,random_seed3,0.13216689098250337,0.03384925975773889,3
Piperacillin-Tazobactam,0.7232657077533066,0.29457364341085274,random_seed3,0.13216689098250337,0.03384925975773889,3
Ciprofloxacin,0.7526906008344184,0.18439716312056736,random_seed3,0.13216689098250337,0.03384925975773889,3
Cotrimoxazole,0.6996065125703919,0.22485207100591717,random_seed3,0.13216689098250337,0.03384925975773889,3
Ceftriaxone,0.8239534999750536,0.5303867403314917,random_seed4,0.15531628532974429,0.0452445042620009,4
Tobramycin,0.7850885034865009,0.18181818181818182,random_seed4,0.15531628532974429,0.0452445042620009,4
Piperacillin-Tazobactam,0.7387565792902183,0.2222222222222222,random_seed4,0.15531628532974429,0.0452445042620009,4
Ciprofloxacin,0.690088807538472,0.22598870056497175,random_seed4,0.15531628532974429,0.0452445042620009,4
Cotrimoxazole,0.7112056057974486,0.25688073394495414,random_seed4,0.15531628532974429,0.0452445042620009,4
Ceftriaxone,0.8174692954104719,0.46835443037974683,random_seed5,0.15074024226110364,0.039412292507851054,5
Tobramycin,0.8084181865652158,0.12903225806451613,random_seed5,0.15074024226110364,0.039412292507851054,5
Piperacillin-Tazobactam,0.7377668308702792,0.19834710743801653,random_seed5,0.15074024226110364,0.039412292507851054,5
Ciprofloxacin,0.7036443316803137,0.18072289156626506,random_seed5,0.15074024226110364,0.039412292507851054,5
Cotrimoxazole,0.6763894000736105,0.22857142857142856,random_seed5,0.15074024226110364,0.039412292507851054,5
Ceftriaxone,0.8219423377874082,0.5540540540540541,random_seed6,0.1297442799461642,0.03793180798564379,6
Tobramycin,0.7447352279697403,0.1686746987951807,random_seed6,0.1297442799461642,0.03793180798564379,6
Piperacillin-Tazobactam,0.7355907299806318,0.18867924528301888,random_seed6,0.1297442799461642,0.03793180798564379,6
Ciprofloxacin,0.7144066913335765,0.14492753623188406,random_seed6,0.1297442799461642,0.03793180798564379,6
Cotrimoxazole,0.7001095740309546,0.17341040462427745,random_seed6,0.1297442799461642,0.03793180798564379,6
Ceftriaxone,0.8060600717098688,0.45714285714285713,random_seed7,0.1437415881561238,0.03091072229699417,7
Tobramycin,0.7710978043912177,0.12345679012345678,random_seed7,0.1437415881561238,0.03091072229699417,7
Piperacillin-Tazobactam,0.7399535884084221,0.1774193548387097,random_seed7,0.1437415881561238,0.03091072229699417,7
Ciprofloxacin,0.7275629697697981,0.12903225806451613,random_seed7,0.1437415881561238,0.03091072229699417,7
Cotrimoxazole,0.7269298493511009,0.17582417582417584,random_seed7,0.1437415881561238,0.03091072229699417,7
Ceftriaxone,0.831925894011202,0.5584415584415584,random_seed8,0.13055181695827725,0.04006280843427546,8
Tobramycin,0.8070889894419306,0.1590909090909091,random_seed8,0.13055181695827725,0.04006280843427546,8
Piperacillin-Tazobactam,0.7350049164208456,0.22727272727272727,random_seed8,0.13055181695827725,0.04006280843427546,8
Ciprofloxacin,0.7813549602686982,0.22695035460992907,random_seed8,0.13055181695827725,0.04006280843427546,8
Cotrimoxazole,0.7438473241453374,0.25842696629213485,random_seed8,0.13055181695827725,0.04006280843427546,8
Ceftriaxone,0.7966312621190634,0.4225352112676056,random_seed9,0.14185733512786003,0.028443248093315388,9
Tobramycin,0.7482475355969331,0.2268041237113402,random_seed9,0.14185733512786003,0.028443248093315388,9
Piperacillin-Tazobactam,0.8001516990291262,0.13793103448275862,random_seed9,0.14185733512786003,0.028443248093315388,9
Ciprofloxacin,0.7308286155429748,0.174496644295302,random_seed9,0.14185733512786003,0.028443248093315388,9
Cotrimoxazole,0.6621866115275266,0.1787709497206704,random_seed9,0.14185733512786003,0.028443248093315388,9
