antibiotic,auroc,f1,split,hamming_loss,jaccard_score
Ciprofloxacin,0.8092464776681306,0.5579831932773109,random_seed0,0.24493526275704494,0.2657781162731658
Cotrimoxazole,0.6842131925558577,0.34049586776859503,random_seed0,0.24493526275704494,0.2657781162731658
Ceftriaxone,0.8699594385514963,0.5797101449275363,random_seed0,0.24493526275704494,0.2657781162731658
Amoxicillin-Clavulanic acid,0.630632808571539,0.1787709497206704,random_seed0,0.24493526275704494,0.2657781162731658
Ampicillin-Amoxicillin,0.6903139364026827,0.7049382716049383,random_seed0,0.24493526275704494,0.2657781162731658
