antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ciprofloxacin,0.8092464776681306,0.5579831932773109,random_seed0,option_e,0.25544554455445545,0.20987560294490987,0.5536938309215537
Ceftriaxone,0.8576620715609884,0.6112359550561798,random_seed0,option_e,0.25544554455445545,0.20987560294490987,0.5536938309215537
Ampicillin-Amoxicillin,0.659857490015824,0.6127080181543116,random_seed0,option_e,0.25544554455445545,0.20987560294490987,0.5536938309215537
Cotrimoxazole,0.6481123020316748,0.40974212034383956,random_seed0,option_e,0.25544554455445545,0.20987560294490987,0.5536938309215537
Amoxicillin-Clavulanic acid,0.6434327415258062,0.33263157894736844,random_seed0,option_e,0.25544554455445545,0.20987560294490987,0.5536938309215537
