antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Penicillin,0.726778967254408,0.855031267765776,random_seed3,option_a,0.1553470919324578,0.573686679174484,0.09380863039399624
Erythromycin,0.6880480835550301,0.19574468085106383,random_seed3,option_a,0.1553470919324578,0.573686679174484,0.09380863039399624
Clindamycin,0.6091476934725002,0.21105527638190955,random_seed3,option_a,0.1553470919324578,0.573686679174484,0.09380863039399624
Oxacillin,0.9153718602223178,0.7113702623906706,random_seed3,option_a,0.1553470919324578,0.573686679174484,0.09380863039399624
Ciprofloxacin,0.7233748852592266,0.35353535353535354,random_seed3,option_a,0.1553470919324578,0.573686679174484,0.09380863039399624
