antibiotic,auroc,f1,split,hamming_loss,jaccard_score
Ciprofloxacin,0.8287276897956417,0.596964586846543,random_seed1,0.24295506473724296,0.2708174663620208
Cotrimoxazole,0.6761946503041412,0.36304700162074555,random_seed1,0.24295506473724296,0.2708174663620208
Ceftriaxone,0.8915399411789304,0.639618138424821,random_seed1,0.24295506473724296,0.2708174663620208
Amoxicillin-Clavulanic acid,0.653399993464693,0.16574585635359115,random_seed1,0.24295506473724296,0.2708174663620208
Ampicillin-Amoxicillin,0.6881439372298083,0.6949760765550239,random_seed1,0.24295506473724296,0.2708174663620208
