antibiotic,auroc,f1,split,hamming_loss,jaccard_score,seed
Penicillin,0.7526881236266705,0.8448956570783982,random_seed0,0.15872420262664166,0.5646810506566604,0
Erythromycin,0.7414203316510455,0.1073170731707317,random_seed0,0.15872420262664166,0.5646810506566604,0
Clindamycin,0.7246290408055114,0.07643312101910828,random_seed0,0.15872420262664166,0.5646810506566604,0
Oxacillin,0.9103867102396515,0.6588235294117647,random_seed0,0.15872420262664166,0.5646810506566604,0
Ciprofloxacin,0.8121212121212121,0.4253393665158371,random_seed0,0.15872420262664166,0.5646810506566604,0
Penicillin,0.729136639625171,0.8425287356321839,random_seed1,0.15778611632270167,0.5550500312695436,1
Erythromycin,0.7144086557579427,0.17511520737327188,random_seed1,0.15778611632270167,0.5550500312695436,1
Clindamycin,0.685104093095214,0.11299435028248588,random_seed1,0.15778611632270167,0.5550500312695436,1
Oxacillin,0.8997682282761503,0.6878612716763006,random_seed1,0.15778611632270167,0.5550500312695436,1
Ciprofloxacin,0.7760534764549658,0.42790697674418604,random_seed1,0.15778611632270167,0.5550500312695436,1
Penicillin,0.7632361689470555,0.8501702610669694,random_seed2,0.1574108818011257,0.5613977485928706,2
Erythromycin,0.6768511730205278,0.1619047619047619,random_seed2,0.1574108818011257,0.5613977485928706,2
Clindamycin,0.7349015156292699,0.11834319526627218,random_seed2,0.1574108818011257,0.5613977485928706,2
Oxacillin,0.9005843961502314,0.7311827956989247,random_seed2,0.1574108818011257,0.5613977485928706,2
Ciprofloxacin,0.7947660948437347,0.34782608695652173,random_seed2,0.1574108818011257,0.5613977485928706,2
Penicillin,0.726778967254408,0.855031267765776,random_seed3,0.15347091932457785,0.5740619136960601,3
Erythromycin,0.6752737157529285,0.18502202643171806,random_seed3,0.15347091932457785,0.5740619136960601,3
Clindamycin,0.7111635390189823,0.06976744186046512,random_seed3,0.15347091932457785,0.5740619136960601,3
Oxacillin,0.9291732035083996,0.7218934911242604,random_seed3,0.15347091932457785,0.5740619136960601,3
Ciprofloxacin,0.7492800235437556,0.38,random_seed3,0.15347091932457785,0.5740619136960601,3
Penicillin,0.7372811171660879,0.8394781622234827,random_seed4,0.15891181988742964,0.5726704190118824,4
Erythromycin,0.711455497382199,0.10784313725490197,random_seed4,0.15891181988742964,0.5726704190118824,4
Clindamycin,0.7430262671106178,0.03550295857988166,random_seed4,0.15891181988742964,0.5726704190118824,4
Oxacillin,0.9000381263616558,0.7130434782608696,random_seed4,0.15891181988742964,0.5726704190118824,4
Ciprofloxacin,0.7775512609820198,0.4444444444444444,random_seed4,0.15891181988742964,0.5726704190118824,4
Penicillin,0.7477305788558906,0.8571428571428571,random_seed5,0.1551594746716698,0.5720762976860537,5
Erythromycin,0.702210073501162,0.10784313725490197,random_seed5,0.1551594746716698,0.5720762976860537,5
Clindamycin,0.7004378822422467,0.03821656050955414,random_seed5,0.1551594746716698,0.5720762976860537,5
Oxacillin,0.8974342273099826,0.7005649717514124,random_seed5,0.1551594746716698,0.5720762976860537,5
Ciprofloxacin,0.7902277809661395,0.37037037037037035,random_seed5,0.1551594746716698,0.5720762976860537,5
Penicillin,0.7533964921846602,0.851915380217267,random_seed6,0.1551594746716698,0.5674171357098187,6
Erythromycin,0.7390708428680396,0.08695652173913043,random_seed6,0.1551594746716698,0.5674171357098187,6
Clindamycin,0.7198907527057049,0.13714285714285715,random_seed6,0.1551594746716698,0.5674171357098187,6
Oxacillin,0.9369155885743563,0.717948717948718,random_seed6,0.1551594746716698,0.5674171357098187,6
Ciprofloxacin,0.7800535581715983,0.410958904109589,random_seed6,0.1551594746716698,0.5674171357098187,6
Penicillin,0.7397551592402171,0.8410138248847926,random_seed7,0.15797373358348968,0.5479049405878674,7
Erythromycin,0.7192086749671018,0.12,random_seed7,0.15797373358348968,0.5479049405878674,7
Clindamycin,0.728006748614124,0.06493506493506493,random_seed7,0.15797373358348968,0.5479049405878674,7
Oxacillin,0.9162153449387492,0.6588235294117647,random_seed7,0.15797373358348968,0.5479049405878674,7
Ciprofloxacin,0.7844221513168569,0.3867924528301887,random_seed7,0.15797373358348968,0.5479049405878674,7
Penicillin,0.7213376367222522,0.8239355581127733,random_seed8,0.1622889305816135,0.543511569731082,8
Erythromycin,0.7299912214697768,0.1111111111111111,random_seed8,0.1622889305816135,0.543511569731082,8
Clindamycin,0.7192993884124055,0.0641025641025641,random_seed8,0.1622889305816135,0.543511569731082,8
Oxacillin,0.9001857307544512,0.6894586894586895,random_seed8,0.1622889305816135,0.543511569731082,8
Ciprofloxacin,0.7919663620139528,0.3904761904761905,random_seed8,0.1622889305816135,0.543511569731082,8
Penicillin,0.739058564231738,0.8492063492063492,random_seed9,0.15084427767354597,0.5707317073170731,9
Erythromycin,0.7348294390219855,0.12682926829268293,random_seed9,0.15084427767354597,0.5707317073170731,9
Clindamycin,0.7507149702894382,0.17834394904458598,random_seed9,0.15084427767354597,0.5707317073170731,9
Oxacillin,0.9060537096040054,0.6723646723646723,random_seed9,0.15084427767354597,0.5707317073170731,9
Ciprofloxacin,0.7633988355167395,0.43349753694581283,random_seed9,0.15084427767354597,0.5707317073170731,9
