antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ciprofloxacin,0.8423478482302011,0.5804195804195804,random_seed8,option_e,0.25544554455445545,0.1892866209697893,0.6191926884996192
Ceftriaxone,0.8791584483892176,0.5714285714285714,random_seed8,option_e,0.25544554455445545,0.1892866209697893,0.6191926884996192
Ampicillin-Amoxicillin,0.6423643910118793,0.5664556962025317,random_seed8,option_e,0.25544554455445545,0.1892866209697893,0.6191926884996192
Cotrimoxazole,0.6435526758313365,0.39104477611940297,random_seed8,option_e,0.25544554455445545,0.1892866209697893,0.6191926884996192
Amoxicillin-Clavulanic acid,0.6334640394732542,0.2986425339366516,random_seed8,option_e,0.25544554455445545,0.1892866209697893,0.6191926884996192
