antibiotic,auroc_mean,auroc_std,f1_mean,f1_std,hamming_loss_mean,hamming_loss_std,jaccard_score_mean,jaccard_score_std,jaccard_score_zd1_mean,jaccard_score_zd1_std,exact_match_ratio_mean,exact_match_ratio_std,restricted_jaccard_mean,restricted_jaccard_std
Cefepime,0.6549761401839007,0.041384895301274774,0.00925531914893617,0.019590714298257733,0.09523537803138374,0.006360910688678184,0.0014241559676652401,0.0011471799476812032,0.7623371374227293,0.010792465257953646,0.761768901569187,0.010822450477166939,0.006018390816389711,0.0050241358847797155
Ceftazidime,0.6014598521670956,0.025488229826147825,0.0036363636363636364,0.01149919149152138,0.09523537803138374,0.006360910688678184,0.0014241559676652401,0.0011471799476812032,0.7623371374227293,0.010792465257953646,0.761768901569187,0.010822450477166939,0.006018390816389711,0.0050241358847797155
Ciprofloxacin,0.6769882853053162,0.036490813326060995,0.026259634984692748,0.027243796333404128,0.09523537803138374,0.006360910688678184,0.0014241559676652401,0.0011471799476812032,0.7623371374227293,0.010792465257953646,0.761768901569187,0.010822450477166939,0.006018390816389711,0.0050241358847797155
Meropenem,0.610723944274396,0.022724517791194478,0.011250456391135501,0.019697246159194718,0.09523537803138374,0.006360910688678184,0.0014241559676652401,0.0011471799476812032,0.7623371374227293,0.010792465257953646,0.761768901569187,0.010822450477166939,0.006018390816389711,0.0050241358847797155
Piperacillin-Tazobactam,0.616809842692058,0.03801401106022474,0.007576305220883535,0.012214485477443374,0.09523537803138374,0.006360910688678184,0.0014241559676652401,0.0011471799476812032,0.7623371374227293,0.010792465257953646,0.761768901569187,0.010822450477166939,0.006018390816389711,0.0050241358847797155
