antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac,seed
Penicillin,0.7526881236266705,0.8448956570783982,random_seed0,option_a,0.15909943714821764,0.5664790494058786,0.06848030018761726,0
Erythromycin,0.7414203316510455,0.1073170731707317,random_seed0,option_a,0.15909943714821764,0.5664790494058786,0.06848030018761726,0
Clindamycin,0.5623491138197021,0.11180124223602485,random_seed0,option_a,0.15909943714821764,0.5664790494058786,0.06848030018761726,0
Oxacillin,0.9000544662309369,0.6666666666666666,random_seed0,option_a,0.15909943714821764,0.5664790494058786,0.06848030018761726,0
Ciprofloxacin,0.7785087276763192,0.3627450980392157,random_seed0,option_a,0.15909943714821764,0.5664790494058786,0.06848030018761726,0
Oxacillin,0.9103867102396515,0.6588235294117647,random_seed0,misseeded_oxacillin,0.15834896810506566,0.5400406504065042,0.13696060037523453,0
Erythromycin,0.7151345830329248,0.18604651162790697,random_seed0,misseeded_oxacillin,0.15834896810506566,0.5400406504065042,0.13696060037523453,0
Clindamycin,0.5938806453512336,0.18823529411764706,random_seed0,misseeded_oxacillin,0.15834896810506566,0.5400406504065042,0.13696060037523453,0
Penicillin,0.749477684521451,0.8336272780717225,random_seed0,misseeded_oxacillin,0.15834896810506566,0.5400406504065042,0.13696060037523453,0
Ciprofloxacin,0.781495308243366,0.35294117647058826,random_seed0,misseeded_oxacillin,0.15834896810506566,0.5400406504065042,0.13696060037523453,0
Ciprofloxacin,0.8121212121212121,0.4253393665158371,random_seed0,misseeded_ciprofloxacin,0.16153846153846155,0.5384771732332708,0.1378986866791745,0
Erythromycin,0.7033946166786831,0.05970149253731343,random_seed0,misseeded_ciprofloxacin,0.16153846153846155,0.5384771732332708,0.1378986866791745,0
Clindamycin,0.5428295943001826,0.02564102564102564,random_seed0,misseeded_ciprofloxacin,0.16153846153846155,0.5384771732332708,0.1378986866791745,0
Oxacillin,0.900495642701525,0.6878612716763006,random_seed0,misseeded_ciprofloxacin,0.16153846153846155,0.5384771732332708,0.1378986866791745,0
Penicillin,0.7474604661215374,0.8324514991181657,random_seed0,misseeded_ciprofloxacin,0.16153846153846155,0.5384771732332708,0.1378986866791745,0
Ciprofloxacin,0.8121212121212121,0.4253393665158371,random_seed0,misseeded_cipro_pen2,0.15872420262664166,0.5567385866166354,0.09849906191369606,0
Penicillin,0.7413412701271568,0.8433734939759037,random_seed0,misseeded_cipro_pen2,0.15872420262664166,0.5567385866166354,0.09849906191369606,0
Erythromycin,0.7033946166786831,0.05970149253731343,random_seed0,misseeded_cipro_pen2,0.15872420262664166,0.5567385866166354,0.09849906191369606,0
Clindamycin,0.5428295943001826,0.02564102564102564,random_seed0,misseeded_cipro_pen2,0.15872420262664166,0.5567385866166354,0.09849906191369606,0
Oxacillin,0.898611111111111,0.7025495750708215,random_seed0,misseeded_cipro_pen2,0.15872420262664166,0.5567385866166354,0.09849906191369606,0
Penicillin,0.729136639625171,0.8425287356321839,random_seed1,option_a,0.15778611632270167,0.5579111944965603,0.10694183864915573,1
Erythromycin,0.7008825501961551,0.10377358490566038,random_seed1,option_a,0.15778611632270167,0.5579111944965603,0.10694183864915573,1
Clindamycin,0.5285373154407561,0.10989010989010989,random_seed1,option_a,0.15778611632270167,0.5579111944965603,0.10694183864915573,1
Oxacillin,0.8943403190525041,0.712707182320442,random_seed1,option_a,0.15778611632270167,0.5579111944965603,0.10694183864915573,1
Ciprofloxacin,0.8061755874990466,0.47393364928909953,random_seed1,option_a,0.15778611632270167,0.5579111944965603,0.10694183864915573,1
Oxacillin,0.8997682282761503,0.6878612716763006,random_seed1,misseeded_oxacillin,0.15384615384615385,0.5499687304565353,0.14540337711069418,1
Erythromycin,0.6893150294677991,0.25217391304347825,random_seed1,misseeded_oxacillin,0.15384615384615385,0.5499687304565353,0.14540337711069418,1
Clindamycin,0.5561430060875121,0.2222222222222222,random_seed1,misseeded_oxacillin,0.15384615384615385,0.5499687304565353,0.14540337711069418,1
Penicillin,0.743837879141444,0.8362779740871613,random_seed1,misseeded_oxacillin,0.15384615384615385,0.5499687304565353,0.14540337711069418,1
Ciprofloxacin,0.8036654115787065,0.5045871559633027,random_seed1,misseeded_oxacillin,0.15384615384615385,0.5499687304565353,0.14540337711069418,1
Ciprofloxacin,0.7760534764549658,0.42790697674418604,random_seed1,misseeded_ciprofloxacin,0.15872420262664166,0.542995622263915,0.14446529080675422,1
Erythromycin,0.7181715126803531,0.12440191387559808,random_seed1,misseeded_ciprofloxacin,0.15872420262664166,0.542995622263915,0.14446529080675422,1
Clindamycin,0.5429320956512965,0.13333333333333333,random_seed1,misseeded_ciprofloxacin,0.15872420262664166,0.542995622263915,0.14446529080675422,1
Oxacillin,0.8922017228183876,0.6923076923076923,random_seed1,misseeded_ciprofloxacin,0.15872420262664166,0.542995622263915,0.14446529080675422,1
Penicillin,0.7387864728464033,0.8349056603773585,random_seed1,misseeded_ciprofloxacin,0.15872420262664166,0.542995622263915,0.14446529080675422,1
Ciprofloxacin,0.7760534764549658,0.42790697674418604,random_seed1,misseeded_cipro_pen2,0.1574108818011257,0.5595684803001876,0.10318949343339587,1
Penicillin,0.7135568946662825,0.8463302752293578,random_seed1,misseeded_cipro_pen2,0.1574108818011257,0.5595684803001876,0.10318949343339587,1
Erythromycin,0.7181715126803531,0.12440191387559808,random_seed1,misseeded_cipro_pen2,0.1574108818011257,0.5595684803001876,0.10318949343339587,1
Clindamycin,0.5429320956512965,0.13333333333333333,random_seed1,misseeded_cipro_pen2,0.1574108818011257,0.5595684803001876,0.10318949343339587,1
Oxacillin,0.8873654557001188,0.6858789625360231,random_seed1,misseeded_cipro_pen2,0.1574108818011257,0.5595684803001876,0.10318949343339587,1
Penicillin,0.7632361689470555,0.8501702610669694,random_seed2,option_a,0.15816135084427768,0.5613039399624765,0.07692307692307693,2
Erythromycin,0.6768511730205278,0.1619047619047619,random_seed2,option_a,0.15816135084427768,0.5613039399624765,0.07692307692307693,2
Clindamycin,0.5885308276050535,0.1452513966480447,random_seed2,option_a,0.15816135084427768,0.5613039399624765,0.07692307692307693,2
