antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ampicillin-Amoxicillin,0.6921019989504318,0.7051520794537555,random_seed8,option_a,0.25255140898705253,0.2894389438943894,0.3556740289413557
Ceftriaxone,0.8601431806560014,0.6367713004484304,random_seed8,option_a,0.25255140898705253,0.2894389438943894,0.3556740289413557
Amoxicillin-Clavulanic acid,0.6445315818710584,0.35984848484848486,random_seed8,option_a,0.25255140898705253,0.2894389438943894,0.3556740289413557
Ciprofloxacin,0.8129247658659424,0.5824,random_seed8,option_a,0.25255140898705253,0.2894389438943894,0.3556740289413557
Cotrimoxazole,0.6848567494850127,0.5046948356807511,random_seed8,option_a,0.25255140898705253,0.2894389438943894,0.3556740289413557
