antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ampicillin-Amoxicillin,0.6920465405198777,0.7059538274605103,random_seed4,option_a,0.2632140137090632,0.28259710586443254,0.3313023610053313
Ceftriaxone,0.8648878643600405,0.636568848758465,random_seed4,option_a,0.2632140137090632,0.28259710586443254,0.3313023610053313
Amoxicillin-Clavulanic acid,0.6215811257261461,0.2751937984496124,random_seed4,option_a,0.2632140137090632,0.28259710586443254,0.3313023610053313
Ciprofloxacin,0.8151349996867756,0.5903225806451613,random_seed4,option_a,0.2632140137090632,0.28259710586443254,0.3313023610053313
Cotrimoxazole,0.6500708587024984,0.46026097271648875,random_seed4,option_a,0.2632140137090632,0.28259710586443254,0.3313023610053313
