antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard,all_zero_frac,chain_baseline_agreement
Cotrimoxazole,0.7269298493511009,0.17582417582417584,random_seed7,reverse_order,0.1531628532974428,0.016733961417676087,0.7031404217137731,0.6944818304172274,0.05477239353891336,0.9636608344549125,0.9380888290713324
Ciprofloxacin,0.6950118988713743,0.1032258064516129,random_seed7,reverse_order,0.1531628532974428,0.016733961417676087,0.7031404217137731,0.6944818304172274,0.05477239353891336,0.9636608344549125,0.9380888290713324
Tobramycin,0.6553093812375249,0.11764705882352941,random_seed7,reverse_order,0.1531628532974428,0.016733961417676087,0.7031404217137731,0.6944818304172274,0.05477239353891336,0.9636608344549125,0.9380888290713324
Piperacillin-Tazobactam,0.6930609010640707,0.12903225806451613,random_seed7,reverse_order,0.1531628532974428,0.016733961417676087,0.7031404217137731,0.6944818304172274,0.05477239353891336,0.9636608344549125,0.9380888290713324
Ceftriaxone,0.7277816963498502,0.21138211382113822,random_seed7,reverse_order,0.1531628532974428,0.016733961417676087,0.7031404217137731,0.6944818304172274,0.05477239353891336,0.9636608344549125,0.9380888290713324
