antibiotic,auroc,f1,split,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard
Piperacillin-Tazobactam,0.6795368421052631,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125
Meropenem,0.5988276284194172,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125
Ciprofloxacin,0.6471127227356027,0.047058823529411764,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125
Ceftazidime,0.578771056661562,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125
Cefepime,0.6332691381800674,0.0,random_seed3,0.08673323823109844,0.0006419400855920115,0.7709700427960058,0.7703281027104137,0.0028125
