chain_idx,all_zero_frac
0,0.3907083015993907
1,0.38842345773038844
2,0.38842345773038844
3,0.3907083015993907
4,0.38994668697638996
5,0.3907083015993907
6,0.38842345773038844
7,0.39146991622239147
8,0.38842345773038844
9,0.3907083015993907
