antibiotic,auroc,f1,split,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard
Piperacillin-Tazobactam,0.6196805111821085,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436
Meropenem,0.5992935635792778,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436
Ciprofloxacin,0.6696104807579834,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436
Ceftazidime,0.6001488350792833,0.03636363636363636,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436
Cefepime,0.5727642276422764,0.0,random_seed2,0.09186875891583453,0.0003566333808844508,0.7635520684736091,0.7631954350927247,0.0015337423312883436
