antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac
Ceftriaxone,0.8749847397864288,0.628992628992629,random_seed7,option_d,0.26153846153846155,0.18467885250063468,0.6222391469916222
Ciprofloxacin,0.8060014214641078,0.5209471766848816,random_seed7,option_d,0.26153846153846155,0.18467885250063468,0.6222391469916222
Ampicillin-Amoxicillin,0.6396962305669185,0.5535289452815226,random_seed7,option_d,0.26153846153846155,0.18467885250063468,0.6222391469916222
Cotrimoxazole,0.6396430645757432,0.3970802919708029,random_seed7,option_d,0.26153846153846155,0.18467885250063468,0.6222391469916222
Amoxicillin-Clavulanic acid,0.6033498108826724,0.2875816993464052,random_seed7,option_d,0.26153846153846155,0.18467885250063468,0.6222391469916222
