antibiotic,split,top15_idx_0,top15_val_0,top15_idx_1,top15_val_1,top15_idx_2,top15_val_2,top15_idx_3,top15_val_3,top15_idx_4,top15_val_4,top15_idx_5,top15_val_5,top15_idx_6,top15_val_6,top15_idx_7,top15_val_7,top15_idx_8,top15_val_8,top15_idx_9,top15_val_9,top15_idx_10,top15_val_10,top15_idx_11,top15_val_11,top15_idx_12,top15_val_12,top15_idx_13,top15_val_13,top15_idx_14,top15_val_14
Ciprofloxacin,random,3260,0.41247377,2168,0.3208381,1603,0.27572235,1622,0.22385687,1634,0.22253147,3259,0.21415423,1297,0.21245833,51,0.19292666,960,0.15945773,1623,0.15090284,1298,0.1487822,1295,0.14606123,2149,0.14571705,2167,0.112153985,1677,0.10386677
Cotrimoxazole,random,1957,0.15330927,1783,0.14684649,3754,0.12334979,952,0.11718055,3260,0.11676933,742,0.11514678,1600,0.11332247,50,0.10830329,51,0.10822065,2571,0.10127341,242,0.09615051,468,0.09048512,1137,0.07465358,495,0.0723264,3025,0.070163146
Ceftriaxone,random,51,0.44793314,50,0.38395426,3260,0.2740569,2150,0.2233115,2148,0.22004667,1634,0.19674313,740,0.1833543,1622,0.18013678,3259,0.17623343,2167,0.17168878,1517,0.16975658,7,0.1490906,45,0.1298458,2588,0.122884035,3919,0.12269981
Amoxicillin-Clavulanic acid,random,2149,0.29713106,1634,0.28486693,3137,0.10115979,405,0.08835816,2240,0.0880091,2148,0.085435994,1148,0.08380509,2969,0.08140924,1537,0.077267475,2586,0.072979875,241,0.07271454,3119,0.07002678,1677,0.06894113,973,0.06587527,2570,0.065039776
Ampicillin-Amoxicillin,random,3259,0.14608195,1622,0.14175308,51,0.13563596,1633,0.12855673,1952,0.12735452,1615,0.120569386,2892,0.116024435,952,0.11409083,1298,0.10698758,115,0.098281935,2150,0.09639462,3431,0.09630169,1295,0.09436408,894,0.09433027,1297,0.091761336
