order_name,antibiotic,auroc_mean,auroc_std,f1_mean,f1_std,hamming_loss_mean,hamming_loss_std,jaccard_score_mean,jaccard_score_std,all_zero_frac_mean,all_zero_frac_std
misseeded_cipro_pen2,Ciprofloxacin,0.7819840755930975,0.01738035566094412,0.4017612329393141,0.0313980343312547,0.15692307692307692,0.004978991188769122,0.5603298936835522,0.012675550527731212,0.1022514071294559,0.006206827154871547
misseeded_cipro_pen2,Clindamycin,0.5640768738040849,0.026079300423055802,0.11985309607368014,0.040173490721457795,0.15692307692307692,0.004978991188769122,0.5603298936835522,0.012675550527731212,0.1022514071294559,0.006206827154871547
misseeded_cipro_pen2,Erythromycin,0.7045336488125593,0.023101401451107416,0.11688365135105705,0.0313967971211406,0.15692307692307692,0.004978991188769122,0.5603298936835522,0.012675550527731212,0.1022514071294559,0.006206827154871547
misseeded_cipro_pen2,Oxacillin,0.894033166533762,0.019723544086710405,0.6910122684147499,0.021585746998493725,0.15692307692307692,0.004978991188769122,0.5603298936835522,0.012675550527731212,0.1022514071294559,0.006206827154871547
misseeded_cipro_pen2,Penicillin,0.7411813591578291,0.016693283636796778,0.8454323751678869,0.009569437197378532,0.15692307692307692,0.004978991188769122,0.5603298936835522,0.012675550527731212,0.1022514071294559,0.006206827154871547
misseeded_ciprofloxacin,Ciprofloxacin,0.7819840755930975,0.01738035566094412,0.4017612329393141,0.0313980343312547,0.15861163227016886,0.004945098122581645,0.5390634771732332,0.012113178909911489,0.14943714821763604,0.016955187297671852
misseeded_ciprofloxacin,Clindamycin,0.564492021981883,0.025064525942786495,0.11689016738517735,0.04545559523445138,0.15861163227016886,0.004945098122581645,0.5390634771732332,0.012113178909911489,0.14943714821763604,0.016955187297671852
misseeded_ciprofloxacin,Erythromycin,0.704110566159323,0.02308009180145418,0.11489911202277595,0.03900213217499677,0.15861163227016886,0.004945098122581645,0.5390634771732332,0.012113178909911489,0.14943714821763604,0.016955187297671852
misseeded_ciprofloxacin,Oxacillin,0.8986635737071118,0.011863575996455386,0.6716137055127203,0.025998675072467226,0.15861163227016886,0.004945098122581645,0.5390634771732332,0.012113178909911489,0.14943714821763604,0.016955187297671852
misseeded_ciprofloxacin,Penicillin,0.7456444245535533,0.009096184718723735,0.836691067904152,0.008401238250743072,0.15861163227016886,0.004945098122581645,0.5390634771732332,0.012113178909911489,0.14943714821763604,0.016955187297671852
misseeded_oxacillin,Ciprofloxacin,0.7681094823850351,0.024602058637436027,0.4137276101752259,0.05058101586539009,0.1549718574108818,0.0036143047596747663,0.5447185741088181,0.011981130048189922,0.14887429643527203,0.017908742115172283
misseeded_oxacillin,Clindamycin,0.588180851988138,0.026203832178280234,0.2016443059679279,0.024820273933761326,0.1549718574108818,0.0036143047596747663,0.5447185741088181,0.011981130048189922,0.14887429643527203,0.017908742115172283
misseeded_oxacillin,Erythromycin,0.7046568235037214,0.018024738107187577,0.20883665099008134,0.02881156502567508,0.1549718574108818,0.0036143047596747663,0.5447185741088181,0.011981130048189922,0.14887429643527203,0.017908742115172283
misseeded_oxacillin,Oxacillin,0.9096755265717633,0.013711962641760061,0.6951965147107376,0.026091181424543725,0.1549718574108818,0.0036143047596747663,0.5447185741088181,0.011981130048189922,0.14887429643527203,0.017908742115172283
misseeded_oxacillin,Penicillin,0.7477221702891395,0.009837595910210165,0.8374308430548154,0.007784518938589435,0.1549718574108818,0.0036143047596747663,0.5447185741088181,0.011981130048189922,0.14887429643527203,0.017908742115172283
option_a,Ciprofloxacin,0.768776688685788,0.025439498840807373,0.40823801766481893,0.034380254114423386,0.15643527204502813,0.003197209516568973,0.5658380237648529,0.010147955857302356,0.09183864915572233,0.011795292914821693
option_a,Clindamycin,0.5639375973039955,0.02589188879148059,0.1307237536091866,0.032773198588780555,0.15643527204502813,0.003197209516568973,0.5658380237648529,0.010147955857302356,0.09183864915572233,0.011795292914821693
option_a,Erythromycin,0.713958622577826,0.022097830050911458,0.134655625605888,0.029180600345543237,0.15643527204502813,0.003197209516568973,0.5658380237648529,0.010147955857302356,0.09183864915572233,0.011795292914821693
option_a,Oxacillin,0.9024094987489779,0.011937533995068245,0.7059068974284244,0.015774259148129667,0.15643527204502813,0.003197209516568973,0.5658380237648529,0.010147955857302356,0.09183864915572233,0.011795292914821693
option_a,Penicillin,0.7410399447854151,0.013244502884876316,0.8455318053330849,0.009624642167512002,0.15643527204502813,0.003197209516568973,0.5658380237648529,0.010147955857302356,0.09183864915572233,0.011795292914821693
