antibiotic,auroc_mean,auroc_std,f1_mean,f1_std,hamming_loss_mean,hamming_loss_std,jaccard_score_mean,jaccard_score_std
Amoxicillin-Clavulanic acid,0.6445179959272466,0.01728443826393809,0.1698826688582752,0.03430906126074737,0.2462604722010663,0.005116402858693463,0.2729639502411779,0.004691392404428399
Ampicillin-Amoxicillin,0.6877720395502297,0.007764606055850304,0.7092640995747328,0.008882930613083786,0.2462604722010663,0.005116402858693463,0.2729639502411779,0.004691392404428399
Ceftriaxone,0.8793302229010598,0.010582122594633911,0.6037455695504143,0.020123038008204017,0.2462604722010663,0.005116402858693463,0.2729639502411779,0.004691392404428399
Ciprofloxacin,0.8217964366395423,0.011893633313025868,0.567382315525042,0.01954686460482687,0.2462604722010663,0.005116402858693463,0.2729639502411779,0.004691392404428399
Cotrimoxazole,0.6792314733347946,0.013480712839723822,0.3375064913198936,0.01783641819854659,0.2462604722010663,0.005116402858693463,0.2729639502411779,0.004691392404428399
