antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard,all_zero_frac,chain_baseline_agreement
Cotrimoxazole,0.6295821031115149,0.09696969696969697,temporal,reverse_order,0.13432032301480484,0.01478241363840287,0.7119560340960072,0.702557200538358,0.05061443932411674,0.9609690444145357,0.9542395693135935
Ciprofloxacin,0.5975274725274725,0.07751937984496124,temporal,reverse_order,0.13432032301480484,0.01478241363840287,0.7119560340960072,0.702557200538358,0.05061443932411674,0.9609690444145357,0.9542395693135935
Tobramycin,0.6218978102189782,0.12307692307692308,temporal,reverse_order,0.13432032301480484,0.01478241363840287,0.7119560340960072,0.702557200538358,0.05061443932411674,0.9609690444145357,0.9542395693135935
Piperacillin-Tazobactam,0.6702564102564103,0.07920792079207921,temporal,reverse_order,0.13432032301480484,0.01478241363840287,0.7119560340960072,0.702557200538358,0.05061443932411674,0.9609690444145357,0.9542395693135935
Ceftriaxone,0.7490432273040969,0.31932773109243695,temporal,reverse_order,0.13432032301480484,0.01478241363840287,0.7119560340960072,0.702557200538358,0.05061443932411674,0.9609690444145357,0.9542395693135935
