antibiotic,auroc,f1,split,hamming_loss,jaccard_score
Ciprofloxacin,0.8291882911826894,0.5648604269293924,random_seed2,0.2523990860624524,0.2802107133790302
Cotrimoxazole,0.6805099007565153,0.3614088820826952,random_seed2,0.2523990860624524,0.2802107133790302
Ceftriaxone,0.8634933712830499,0.5794392523364486,random_seed2,0.2523990860624524,0.2802107133790302
Amoxicillin-Clavulanic acid,0.6320772345063843,0.14092140921409213,random_seed2,0.2523990860624524,0.2802107133790302
Ampicillin-Amoxicillin,0.6880491674028477,0.7201405152224825,random_seed2,0.2523990860624524,0.2802107133790302
