antibiotic,full_cohort_n,full_cohort_resistance_rate,complete_case_n,complete_case_resistance_rate,rate_diff
Piperacillin-Tazobactam,3260,0.21595092024539878,2445,0.1738241308793456,-0.042126789366053186
Meropenem,3267,0.17845117845117844,2445,0.14028629856850716,-0.03816487988267128
Ciprofloxacin,3267,0.23109886746250383,2445,0.16646216768916156,-0.06463669977334227
Ceftazidime,2551,0.12544100352802823,2445,0.12433537832310838,-0.001105625204919844
Cefepime,3164,0.1965865992414665,2445,0.09284253578732106,-0.10374406345414543
